# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260506-200949.log
0|16448|INIT |DLL_PROCESS_ATTACH pid=18304
4|16448|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
33407|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
33407|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000025
33408|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x25 hCop=0x0158926C ts=0
33409|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x25 hCop=0x0158926C ts=0
33410|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8003 size=0
33410|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000026
33410|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x26 hCop=0x01589270 ts=0
33411|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x26 hCop=0x01589270 ts=0
33412|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x24 hCop=0x0158926C ts=0
33412|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8004 size=0
33413|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000027
33413|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x27 hCop=0x0158926C ts=0
33435|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
33435|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000028
33435|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x28 hCop=0x0158839C ts=0
33436|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x28 hCop=0x0158839C ts=0
33437|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
33437|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000029
33437|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x29 hCop=0x015883A0 ts=0
